@relation movers
@attribute party_id real
@attribute session_count real
@attribute event_count real
@attribute homepage {t, f}
@attribute tv_home_theater {t, f}
@attribute computer_tables {t, f}
@attribute cell_phones {t, f}
@attribute cameras_camcorders {t, f}
@attribute audio_mp3 {t, f}
@attribute car_electronics_gps {t, f}
@attribute video_games_movies_music {t, f}
@attribute health_fitness {t, f}
@attribute home_office {t, f}
@attribute small_appliances {t, f}
@attribute appliances {t, f}
@attribute clearance {t, f}
@attribute searched {t, f}
@attribute list_page {t, f}
@attribute pdp {t, f}
@attribute cart_view {t, f}
@attribute conversion {t, f}
@attribute movers {t, f}
@data
677800279,1,11,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
678068031,1,13,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
678068031,1,43,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
678068031,1,84,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
678504541,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
678504541,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
678504541,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
678504541,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
678504541,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
678504541,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
678504541,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
678504541,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
678504541,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,?
678504541,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
678504541,1,8,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
678504541,1,10,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
679149489,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,?
679743505,1,12,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,?
680145433,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
680145433,1,8,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
680546871,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
680546871,1,13,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
680748631,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,?
680748631,1,23,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,?
680790271,1,11,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
6809456,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
681001367,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,?
681288503,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
681454678,1,12,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
681709377,1,31,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
682397088,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
682397088,1,11,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
683605968,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
683977120,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
684248626,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
684394672,1,12,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
684466586,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
684466586,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
684466586,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,?
684645002,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
685107609,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
685192384,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
